id,xmin,xmax,ymin,ymax,CellName,Col,Lin
131,81.250000000000000,81.500000000000000,-54.250000000000000,-54.000000000000000,F7,F,7
132,81.500000000000000,81.750000000000000,-54.250000000000000,-54.000000000000000,G7,G,7
133,81.750000000000000,82.000000000000000,-54.250000000000000,-54.000000000000000,H7,H,7
134,82.000000000000000,82.250000000000000,-54.250000000000000,-54.000000000000000,I7,I,7
135,82.250000000000000,82.500000000000000,-54.250000000000000,-54.000000000000000,J7,J,7
136,82.500000000000000,82.750000000000000,-54.250000000000000,-54.000000000000000,K7,K,7
137,82.750000000000000,83.000000000000000,-54.250000000000000,-54.000000000000000,L7,L,7
138,83.000000000000000,83.250000000000000,-54.250000000000000,-54.000000000000000,M7,M,7
139,83.250000000000000,83.500000000000000,-54.250000000000000,-54.000000000000000,N7,N,7
140,83.500000000000000,83.750000000000000,-54.250000000000000,-54.000000000000000,O7,O,7
141,83.750000000000000,84.000000000000000,-54.250000000000000,-54.000000000000000,P7,P,7
142,84.000000000000000,84.250000000000000,-54.250000000000000,-54.000000000000000,Q7,Q,7
143,84.250000000000000,84.500000000000000,-54.250000000000000,-54.000000000000000,R7,R,7
144,84.500000000000000,84.750000000000000,-54.250000000000000,-54.000000000000000,S7,S,7
145,84.750000000000000,85.000000000000000,-54.250000000000000,-54.000000000000000,T7,T,7
147,80.000000000000000,80.250000000000000,-54.500000000000000,-54.250000000000000,A8,A,8
148,80.250000000000000,80.500000000000000,-54.500000000000000,-54.250000000000000,B8,B,8
149,80.500000000000000,80.750000000000000,-54.500000000000000,-54.250000000000000,C8,C,8
150,80.750000000000000,81.000000000000000,-54.500000000000000,-54.250000000000000,D8,D,8
151,81.000000000000000,81.250000000000000,-54.500000000000000,-54.250000000000000,E8,E,8
152,81.250000000000000,81.500000000000000,-54.500000000000000,-54.250000000000000,F8,F,8
153,81.500000000000000,81.750000000000000,-54.500000000000000,-54.250000000000000,G8,G,8
154,81.750000000000000,82.000000000000000,-54.500000000000000,-54.250000000000000,H8,H,8
155,82.000000000000000,82.250000000000000,-54.500000000000000,-54.250000000000000,I8,I,8
156,82.250000000000000,82.500000000000000,-54.500000000000000,-54.250000000000000,J8,J,8
157,82.500000000000000,82.750000000000000,-54.500000000000000,-54.250000000000000,K8,K,8
158,82.750000000000000,83.000000000000000,-54.500000000000000,-54.250000000000000,L8,L,8
159,83.000000000000000,83.250000000000000,-54.500000000000000,-54.250000000000000,M8,M,8
160,83.250000000000000,83.500000000000000,-54.500000000000000,-54.250000000000000,N8,N,8
161,83.500000000000000,83.750000000000000,-54.500000000000000,-54.250000000000000,O8,O,8
162,83.750000000000000,84.000000000000000,-54.500000000000000,-54.250000000000000,P8,P,8
163,84.000000000000000,84.250000000000000,-54.500000000000000,-54.250000000000000,Q8,Q,8
164,84.250000000000000,84.500000000000000,-54.500000000000000,-54.250000000000000,R8,R,8
165,84.500000000000000,84.750000000000000,-54.500000000000000,-54.250000000000000,S8,S,8
166,84.750000000000000,85.000000000000000,-54.500000000000000,-54.250000000000000,T8,T,8
168,80.000000000000000,80.250000000000000,-54.750000000000000,-54.500000000000000,A9,A,9
169,80.250000000000000,80.500000000000000,-54.750000000000000,-54.500000000000000,B9,B,9
170,80.500000000000000,80.750000000000000,-54.750000000000000,-54.500000000000000,C9,C,9
171,80.750000000000000,81.000000000000000,-54.750000000000000,-54.500000000000000,D9,D,9
172,81.000000000000000,81.250000000000000,-54.750000000000000,-54.500000000000000,E9,E,9
173,81.250000000000000,81.500000000000000,-54.750000000000000,-54.500000000000000,F9,F,9
174,81.500000000000000,81.750000000000000,-54.750000000000000,-54.500000000000000,G9,G,9
175,81.750000000000000,82.000000000000000,-54.750000000000000,-54.500000000000000,H9,H,9
176,82.000000000000000,82.250000000000000,-54.750000000000000,-54.500000000000000,I9,I,9
177,82.250000000000000,82.500000000000000,-54.750000000000000,-54.500000000000000,J9,J,9
178,82.500000000000000,82.750000000000000,-54.750000000000000,-54.500000000000000,K9,K,9
179,82.750000000000000,83.000000000000000,-54.750000000000000,-54.500000000000000,L9,L,9
180,83.000000000000000,83.250000000000000,-54.750000000000000,-54.500000000000000,M9,M,9
181,83.250000000000000,83.500000000000000,-54.750000000000000,-54.500000000000000,N9,N,9
182,83.500000000000000,83.750000000000000,-54.750000000000000,-54.500000000000000,O9,O,9
183,83.750000000000000,84.000000000000000,-54.750000000000000,-54.500000000000000,P9,P,9
184,84.000000000000000,84.250000000000000,-54.750000000000000,-54.500000000000000,Q9,Q,9
185,84.250000000000000,84.500000000000000,-54.750000000000000,-54.500000000000000,R9,R,9
186,84.500000000000000,84.750000000000000,-54.750000000000000,-54.500000000000000,S9,S,9
187,84.750000000000000,85.000000000000000,-54.750000000000000,-54.500000000000000,T9,T,9
189,80.000000000000000,80.250000000000000,-55.000000000000000,-54.750000000000000,A10,A,10
190,80.250000000000000,80.500000000000000,-55.000000000000000,-54.750000000000000,B10,B,10
191,80.500000000000000,80.750000000000000,-55.000000000000000,-54.750000000000000,C10,C,10
192,80.750000000000000,81.000000000000000,-55.000000000000000,-54.750000000000000,D10,D,10
193,81.000000000000000,81.250000000000000,-55.000000000000000,-54.750000000000000,E10,E,10
194,81.250000000000000,81.500000000000000,-55.000000000000000,-54.750000000000000,F10,F,10
195,81.500000000000000,81.750000000000000,-55.000000000000000,-54.750000000000000,G10,G,10
196,81.750000000000000,82.000000000000000,-55.000000000000000,-54.750000000000000,H10,H,10
197,82.000000000000000,82.250000000000000,-55.000000000000000,-54.750000000000000,I10,I,10
198,82.250000000000000,82.500000000000000,-55.000000000000000,-54.750000000000000,J10,J,10
199,82.500000000000000,82.750000000000000,-55.000000000000000,-54.750000000000000,K10,K,10
200,82.750000000000000,83.000000000000000,-55.000000000000000,-54.750000000000000,L10,L,10
201,83.000000000000000,83.250000000000000,-55.000000000000000,-54.750000000000000,M10,M,10
202,83.250000000000000,83.500000000000000,-55.000000000000000,-54.750000000000000,N10,N,10
203,83.500000000000000,83.750000000000000,-55.000000000000000,-54.750000000000000,O10,O,10
204,83.750000000000000,84.000000000000000,-55.000000000000000,-54.750000000000000,P10,P,10
205,84.000000000000000,84.250000000000000,-55.000000000000000,-54.750000000000000,Q10,Q,10
206,84.250000000000000,84.500000000000000,-55.000000000000000,-54.750000000000000,R10,R,10
207,84.500000000000000,84.750000000000000,-55.000000000000000,-54.750000000000000,S10,S,10
208,84.750000000000000,85.000000000000000,-55.000000000000000,-54.750000000000000,T10,T,10
